"fecha_hecho","cod_depto","departamento","cod_muni","municipio","zona","cantidad"
"2012-02-20T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","2"
"2012-02-27T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-03-08T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-03-25T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-04-03T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-07-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-07-09T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2012-09-02T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-09-03T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-10-09T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-10-23T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","2"
"2012-10-25T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-10-27T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-10-28T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-11-04T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2012-11-05T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2012-11-10T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2012-11-19T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-11-21T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-11-24T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","2"
"2012-11-26T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-11-26T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-11-29T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-12-04T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2012-12-05T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-12-06T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-12-11T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-12-12T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2012-12-15T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-12-16T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2012-12-23T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2012-12-24T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","2"
"2012-12-26T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2012-12-29T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-01-04T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2013-01-04T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-01-07T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-01-09T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-01-18T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-01-19T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-01-20T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","RURAL","1"
"2013-01-25T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-01-28T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-01-30T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-02-03T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","2"
"2013-02-12T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-02-14T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-02-19T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","2"
"2013-02-20T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-02-24T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-02-26T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-03-01T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","1"
"2013-03-07T00:00:00.000","76","VALLE DEL CAUCA","76364","JAMUNDI","URBANA","2"
